     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+) 
  1.000000000E+005   1.056293024E-009   1.000000000E+001   2.820205816E-032   1.958206898E-024   5.317591567E-031   1.146245195E-030   1.970784986E-022   4.097792749E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794582E-132   3.961514893E-026   1.688804062E-029   1.058115239E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981950427E-035   8.689831590E-049 
  1.999333047E+005   2.111881551E-009   1.000000000E+001   3.571551644E-032   1.958206898E-024   5.317591567E-031   1.146245195E-030   1.970784986E-022   4.097792748E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794582E-132   3.961514893E-026   1.688804091E-029   1.058115328E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981950426E-035   8.689832573E-049 
  2.998666095E+005   3.167470078E-009   1.000000000E+001   4.322883785E-032   1.958206898E-024   5.317591567E-031   1.146245195E-030   1.970784986E-022   4.097792748E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794582E-132   3.961514893E-026   1.688804120E-029   1.058115418E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981950426E-035   8.689833557E-049 
  4.726667173E+005   4.992745563E-009   1.000000000E+001   5.622058223E-032   1.958206898E-024   5.317591567E-031   1.146245195E-030   1.970784986E-022   4.097792747E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794582E-132   3.961514893E-026   1.688804171E-029   1.058115573E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981950426E-035   8.689835257E-049 
  6.103205819E+005   6.446773731E-009   1.000000000E+001   6.656997288E-032   1.958206898E-024   5.317591567E-031   1.146245195E-030   1.970784986E-022   4.097792746E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794581E-132   3.961514893E-026   1.688804211E-029   1.058115697E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981950425E-035   8.689836611E-049 
  8.335294894E+005   8.804513851E-009   1.000000000E+001   8.335158820E-032   1.958206898E-024   5.317591566E-031   1.146245195E-030   1.970784986E-022   4.097792744E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794581E-132   3.961514893E-026   1.688804275E-029   1.058115897E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981950425E-035   8.689838808E-049 
  1.182039924E+006   1.248580526E-008   1.000000000E+001   1.095536420E-031   1.958206898E-024   5.317591566E-031   1.146245195E-030   1.970784986E-022   4.097792742E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794581E-132   3.961514893E-026   1.688804377E-029   1.058116210E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981950424E-035   8.689842237E-049 
  1.716190191E+006   1.812799727E-008   1.000000000E+001   1.497117849E-031   1.958206898E-024   5.317591566E-031   1.146245196E-030   1.970784986E-022   4.097792738E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794580E-132   3.961514893E-026   1.688804532E-029   1.058116690E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981950422E-035   8.689847493E-049 
  2.607445024E+006   2.754225990E-008   1.000000000E+001   2.167205735E-031   1.958206898E-024   5.317591566E-031   1.146245196E-030   1.970784986E-022   4.097792732E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794579E-132   3.961514893E-026   1.688804791E-029   1.058117490E-051   1.219421070E-025   2.265298273E-038   1.737793831E-031   0.000000000E+000   2.981950420E-035   8.689856262E-049 
  3.498699857E+006   3.695652253E-008   1.000000000E+001   2.837277674E-031   1.958206898E-024   5.317591566E-031   1.146245196E-030   1.970784986E-022   4.097792726E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794578E-132   3.961514893E-026   1.688805049E-029   1.058118290E-051   1.219421070E-025   2.265298272E-038   1.737793831E-031   0.000000000E+000   2.981950417E-035   8.689865032E-049 
